Address,SoldPrice,Bedrooms,Bathrooms,AreaSqFt,PropertyType,Neighborhood,PricePerSqFt
"290 Jersey St, San Francisco, CA, 94114",4400000,4.0,3.0,3100.0,SINGLE_FAMILY,San Francisco,1419.3548387096773
"631 Ofarrell St Apt 1112, San Francisco, CA, 94109",331500,0.0,1.0,520.0,CONDOS,San Francisco,637.5
"867 33rd Ave, San Francisco, CA, 94121",3055000,5.0,4.0,2390.0,SINGLE_FAMILY,San Francisco,1278.2426778242677
"1615 LA Salle Ave, San Francisco, CA, 94124",915000,3.0,2.0,1250.0,SINGLE_FAMILY,San Francisco,732.0
"1612-1614 Anza St, San Francisco, CA, 94118",2010000,6.0,,1970.0,MULTI_FAMILY,San Francisco,1020.3045685279188
"725 Delta St, San Francisco, CA, 94134",1100000,3.0,2.0,1297.0,SINGLE_FAMILY,San Francisco,848.1110254433307
"101 Lombard St Apt 307W, San Francisco, CA, 94111",1200000,2.0,2.0,1467.0,CONDO,San Francisco,817.9959100204499
"79-81 Homestead St, San Francisco, CA, 94114",1300000,4.0,4.0,1950.0,MULTI_FAMILY,San Francisco,666.6666666666666
"40 Pico Ave, San Francisco, CA, 94127",2100000,4.0,4.0,2532.0,SINGLE_FAMILY,San Francisco,829.3838862559242
"466 Liberty St, San Francisco, CA, 94114",3855000,3.0,2.0,2070.0,SINGLE_FAMILY,San Francisco,1862.3188405797102
"313 Moraga St, San Francisco, CA, 94122",1855000,3.0,3.0,1553.0,CONDOS,San Francisco,1194.4623309723117
"803 Vermont St, San Francisco, CA, 94107",3337000,4.0,3.0,2350.0,SINGLE_FAMILY,San Francisco,1420.0
"174 Granville Way, San Francisco, CA, 94127",2600000,4.0,3.0,2433.0,SINGLE_FAMILY,San Francisco,1068.6395396629675
"2286 38th Ave, San Francisco, CA, 94116",1150000,0.0,1.0,1200.0,SINGLE_FAMILY,San Francisco,958.3333333333334
"717 Kirkham St, San Francisco, CA, 94122",1920000,3.0,3.0,1750.0,CONDOS,San Francisco,1097.142857142857
"1701 Jackson St Apt 206, San Francisco, CA, 94109",1068000,2.0,2.0,1145.0,CONDOS,San Francisco,932.7510917030568
"149 Capistrano Ave, San Francisco, CA, 94112",1210000,2.0,1.0,1185.0,SINGLE_FAMILY,San Francisco,1021.0970464135021
"1831 Fulton St, San Francisco, CA, 94117",2030000,3.0,2.0,2150.0,CONDOS,San Francisco,944.1860465116279
"47 Worth St, San Francisco, CA, 94114",4195000,4.0,4.0,2195.0,SINGLE_FAMILY,San Francisco,1911.1617312072892
"45 Minerva St, San Francisco, CA, 94112",1275000,3.0,2.0,1703.0,SINGLE_FAMILY,San Francisco,748.6788021139166
"555 4th St Unit 438, San Francisco, CA, 94107",625000,1.0,1.0,721.0,CONDOS,San Francisco,866.8515950069348
"880 Presidio Ave, San Francisco, CA, 94115",1420000,3.0,2.0,1158.0,CONDOS,San Francisco,1226.2521588946458
"133 Ellert St Unit 1, San Francisco, CA, 94110",1160000,2.0,1.0,1282.0,CONDOS,San Francisco,904.8361934477379
"1 Isola Way, San Francisco, CA, 94127",2701000,4.0,3.0,2600.0,SINGLE_FAMILY,San Francisco,1038.8461538461538
"60 Laidley St, San Francisco, CA, 94131",1750000,4.0,3.0,4090.0,SINGLE_FAMILY,San Francisco,427.87286063569684
"1060 Filbert St, San Francisco, CA, 94133",2201000,2.0,2.0,2225.0,TOWNHOMES,San Francisco,989.2134831460675
"3422 19th St Unit 3422, San Francisco, CA, 94110",930000,2.0,2.0,1056.0,SINGLE_FAMILY,San Francisco,880.6818181818181
"1770 Pacific Ave Apt 401, San Francisco, CA, 94109",1475000,2.0,2.0,1500.0,CONDOS,San Francisco,983.3333333333334
"1086 Capp St, San Francisco, CA, 94110",960000,3.0,1.0,1376.0,CONDOS,San Francisco,697.6744186046511
"95 McCoppin St Unit 203E, San Francisco, CA, 94103",700000,2.0,1.0,931.0,CONDOS,San Francisco,751.8796992481203
"310 Lily St, San Francisco, CA, 94102",291500,,2.0,1924.0,MULTI_FAMILY,San Francisco,151.50727650727652
"2228 45th Ave, San Francisco, CA, 94116",1050000,3.0,2.0,1364.0,SINGLE_FAMILY,San Francisco,769.7947214076246
"1970 Sutter St Apt 203, San Francisco, CA, 94115",1175000,1.0,2.0,1075.0,CONDOS,San Francisco,1093.0232558139535
"2405 23rd St, San Francisco, CA, 94110",1365000,2.0,2.0,1365.0,SINGLE_FAMILY,San Francisco,1000.0
"1945 Hyde St Apt 2, San Francisco, CA, 94109",2600000,2.0,2.0,1948.0,CONDOS,San Francisco,1334.7022587268993
"800 Miramar Ave, San Francisco, CA, 94112",3050000,4.0,3.0,2600.0,SINGLE_FAMILY,San Francisco,1173.076923076923
"8045 Geary Blvd Apt 304, San Francisco, CA, 94121",3629500,24.0,12.0,13305.0,OTHER,San Francisco,272.7921833897031
"266 Pacheco St, San Francisco, CA, 94116",5500000,6.0,6.0,5170.0,SINGLE_FAMILY,San Francisco,1063.8297872340424
"25 Hidalgo Ter, San Francisco, CA, 94103",3500000,5.0,3.0,2972.0,SINGLE_FAMILY,San Francisco,1177.6581426648722
"282 Bright St, San Francisco, CA, 94132",1310000,4.0,2.0,1319.0,SINGLE_FAMILY,San Francisco,993.1766489764973
"463 28th Ave, San Francisco, CA, 94121",1000000,2.0,2.0,2540.0,SINGLE_FAMILY,San Francisco,393.7007874015748
"15 Bradford St, San Francisco, CA, 94110",1952410,3.0,2.0,1365.0,SINGLE_FAMILY,San Francisco,1430.3369963369964
"3333 Jackson St, San Francisco, CA, 94118",7650000,6.0,3.0,4963.0,SINGLE_FAMILY,San Francisco,1541.40640741487
"301 Banks St, San Francisco, CA, 94110",1550000,4.0,2.0,1617.0,MULTI_FAMILY,San Francisco,958.56524427953
"1441 Cayuga Ave, San Francisco, CA, 94112",1000000,3.0,1.0,1340.0,SINGLE_FAMILY,San Francisco,746.2686567164179
"3675 Fillmore St Apt 201, San Francisco, CA, 94123",975000,1.0,1.0,991.0,CONDOS,San Francisco,983.8546922300707
"17 Perego Ter Apt 8, San Francisco, CA, 94131",1205000,3.0,2.0,1400.0,CONDOS,San Francisco,860.7142857142857
"28 Knollview Way, San Francisco, CA, 94131",1250000,2.0,1.0,937.0,SINGLE_FAMILY,San Francisco,1334.0448239060831
"350 San Jose Ave Apt 2, San Francisco, CA, 94110",679000,1.0,1.0,716.0,SINGLE_FAMILY,San Francisco,948.3240223463687
"1754 25th Ave, San Francisco, CA, 94122",2325000,3.0,2.0,2278.0,SINGLE_FAMILY,San Francisco,1020.632133450395
"1567 Sanchez St, San Francisco, CA, 94131",3660000,3.0,2.0,2214.0,SINGLE_FAMILY,San Francisco,1653.1165311653117
"536 Wisconsin St, San Francisco, CA, 94107",1130000,2.0,2.0,1220.0,CONDOS,San Francisco,926.2295081967213
"460 Fillmore St Unit 3, San Francisco, CA, 94117",1425000,2.0,2.0,1500.0,CONDOS,San Francisco,950.0
"250 King St Unit 1508, San Francisco, CA, 94107",709000,1.0,1.0,787.0,CONDOS,San Francisco,900.8894536213469
"1933-1935 Ellis St, San Francisco, CA, 94115",2000000,5.0,2.0,2668.0,MULTI_FAMILY,San Francisco,749.6251874062968
"2148 Broderick St, San Francisco, CA, 94115",3378000,17.0,17.0,5675.0,OTHER,San Francisco,595.2422907488987
"663 28th Ave, San Francisco, CA, 94121",1322000,,1.0,1640.0,SINGLE_FAMILY,San Francisco,806.0975609756098
"470 Madrid St, San Francisco, CA, 94112",1009000,3.0,2.0,1394.0,SINGLE_FAMILY,San Francisco,723.816355810617
"348 Edna St, San Francisco, CA, 94112",1550000,3.0,2.0,1650.0,SINGLE_FAMILY,San Francisco,939.3939393939394
"238 Stonecrest Dr, San Francisco, CA, 94132",1650000,,3.0,2515.0,SINGLE_FAMILY,San Francisco,656.0636182902584
"65 Danton St, San Francisco, CA, 94112",1090000,2.0,1.0,1012.0,SINGLE_FAMILY,San Francisco,1077.0750988142292
"1255 California St Unit 701, San Francisco, CA, 94109",830000,1.0,1.0,1160.0,CONDOS,San Francisco,715.5172413793103
"250 King St Unit 734, San Francisco, CA, 94107",600000,1.0,1.0,760.0,CONDOS,San Francisco,789.4736842105264
"543 Elizabeth St, San Francisco, CA, 94114",2035000,,1.0,1688.0,SINGLE_FAMILY,San Francisco,1205.568720379147
"517 Bowdoin St, San Francisco, CA, 94134",935000,3.0,2.0,1280.0,SINGLE_FAMILY,San Francisco,730.46875
"2329 Divisadero St Apt 2, San Francisco, CA, 94115",1430000,2.0,1.0,1150.0,CONDOS,San Francisco,1243.4782608695652
"467 Melrose Ave, San Francisco, CA, 94127",2650000,4.0,5.0,3000.0,SINGLE_FAMILY,San Francisco,883.3333333333334
"484 Faxon Ave, San Francisco, CA, 94112",805000,1.0,1.0,753.0,SINGLE_FAMILY,San Francisco,1069.0571049136786
"261 Winfield St, San Francisco, CA, 94110",1870000,3.0,2.0,1475.0,SINGLE_FAMILY,San Francisco,1267.7966101694915
"163 Stratford Dr, San Francisco, CA, 94132",1980000,3.0,3.0,1724.0,SINGLE_FAMILY,San Francisco,1148.491879350348
"287 Hermann St, San Francisco, CA, 94117",766000,1.0,1.0,880.0,CONDOS,San Francisco,870.4545454545455
"256 Circular Ave, San Francisco, CA, 94131",1350000,4.0,3.0,1925.0,SINGLE_FAMILY,San Francisco,701.2987012987013
"1495 7th Ave, San Francisco, CA, 94122",7552500,,21.0,14391.0,OTHER,San Francisco,524.8071711486346
"2888 Harrison St, San Francisco, CA, 94110",1220000,,2.0,2900.0,MULTI_FAMILY,San Francisco,420.6896551724138
"24 Josiah Ave, San Francisco, CA, 94112",1450000,3.0,3.0,2015.0,SINGLE_FAMILY,San Francisco,719.6029776674937
"4074 Folsom St, San Francisco, CA, 94110",1300000,3.0,1.0,970.0,SINGLE_FAMILY,San Francisco,1340.2061855670104
"51 Dorado Ter, San Francisco, CA, 94112",1050000,3.0,2.0,1400.0,CONDO,San Francisco,750.0
"178 Mary Teresa St, San Francisco, CA, 94134",965000,4.0,2.0,1846.0,CONDOS,San Francisco,522.7518959913326
"2125 Bryant St Apt 6, San Francisco, CA, 94110",309854,2.0,2.0,1183.0,CONDOS,San Francisco,261.9222316145393
"323 Chicago Way, San Francisco, CA, 94112",910000,2.0,1.0,950.0,SINGLE_FAMILY,San Francisco,957.8947368421053
"301 Crescent Ct Apt 3411, San Francisco, CA, 94134",541000,1.0,1.0,802.0,CONDOS,San Francisco,674.5635910224439
"1750 Stockton St, San Francisco, CA, 94133",2100000,10.0,,6178.0,MULTI_FAMILY,San Francisco,339.9158303658142
"620 Church St, San Francisco, CA, 94114",1525000,,1.0,864.0,SINGLE_FAMILY,San Francisco,1765.0462962962963
"530 Dewey Blvd, San Francisco, CA, 94116",1735000,4.0,2.0,2342.0,SINGLE_FAMILY,San Francisco,740.8198121263877
"370 DE Haro St Unit B4, San Francisco, CA, 94103",750000,1.0,2.0,1180.0,CONDOS,San Francisco,635.5932203389831
"241 Collins St, San Francisco, CA, 94118",1000000,6.0,3.0,3696.0,APARTMENT,San Francisco,270.56277056277054
"1553 Powell St # 1551, San Francisco, CA, 94133",150000,,1.0,2480.0,MULTI_FAMILY,San Francisco,60.483870967741936
"980 Holloway Ave, San Francisco, CA, 94132",1285000,2.0,1.0,1590.0,SINGLE_FAMILY,San Francisco,808.1761006289308
"2525 Van Ness Ave Ste 201, San Francisco, CA, 94109",1347500,2.0,2.0,1195.0,CONDOS,San Francisco,1127.6150627615064
"57 Masonic Ave, San Francisco, CA, 94118",1749000,3.0,2.0,2332.0,SINGLE_FAMILY,San Francisco,750.0
"1483 Sutter St Unit 401, San Francisco, CA, 94109",650000,1.0,1.0,801.0,CONDOS,San Francisco,811.4856429463171
"133 Holloway Ave, San Francisco, CA, 94112",965000,3.0,1.0,1296.0,SINGLE_FAMILY,San Francisco,744.5987654320987
"1466 Oakdale Ave, San Francisco, CA, 94124",636253,2.0,1.0,1200.0,SINGLE_FAMILY,San Francisco,530.2108333333333
"650 Chestnut St Apt 205, San Francisco, CA, 94133",1250000,3.0,2.0,1408.0,CONDOS,San Francisco,887.7840909090909
"210 Edinburgh St, San Francisco, CA, 94112",975000,4.0,2.0,1125.0,SINGLE_FAMILY,San Francisco,866.6666666666666
"2435 Union St, San Francisco, CA, 94123",4995000,12.0,,11607.0,MULTI_FAMILY,San Francisco,430.34375807702247
"2780 19th Ave Unit 61, San Francisco, CA, 94132",1050000,3.0,2.0,1460.0,CONDOS,San Francisco,719.1780821917808
"3145 Alemany Blvd, San Francisco, CA, 94112",225000,3.0,1.0,1315.0,SINGLE_FAMILY,San Francisco,171.10266159695817
"601 Van Ness Ave Apt 505, San Francisco, CA, 94102",630000,2.0,2.0,893.0,CONDOS,San Francisco,705.4871220604704
"601A Fell St, San Francisco, CA, 94102",1725000,3.0,1.0,1240.0,SINGLE_FAMILY,San Francisco,1391.1290322580646
"551 Natoma St Apt 1, San Francisco, CA, 94103",1037500,2.0,2.0,1913.0,CONDOS,San Francisco,542.3418714061684
"60 Rausch St Apt 206, San Francisco, CA, 94103",950000,2.0,1.0,1550.0,CONDOS,San Francisco,612.9032258064516
"1868 Greenwich St, San Francisco, CA, 94123",7600000,7.0,5.0,6685.0,SINGLE_FAMILY,San Francisco,1136.8735976065818
"139 Peralta Ave, San Francisco, CA, 94110",1568000,2.0,2.0,1470.0,SINGLE_FAMILY,San Francisco,1066.6666666666667
"2519 32nd Ave, San Francisco, CA, 94116",1711000,3.0,2.0,1738.0,SINGLE_FAMILY,San Francisco,984.4649021864212
"1919 Quesada Ave, San Francisco, CA, 94124",1560000,4.0,2.0,2240.0,SINGLE_FAMILY,San Francisco,696.4285714285714
"194 27th St, San Francisco, CA, 94110",108000,4.0,4.0,1980.0,MULTI_FAMILY,San Francisco,54.54545454545455
"5 Sonoma St, San Francisco, CA, 94133",1200000,,3.0,1995.0,OTHER,San Francisco,601.5037593984962
"719 Brunswick St, San Francisco, CA, 94112",1568000,4.0,3.0,1877.0,SINGLE_FAMILY,San Francisco,835.3755993606819
"3 Sonoma St, San Francisco, CA, 94133",1200000,,3.0,1320.0,OTHER,San Francisco,909.0909090909091
"2004-2012 McAllister St, San Francisco, CA, 94118",1080000,6.0,,2960.0,MULTI_FAMILY,San Francisco,364.86486486486484
"3335 Clement St, San Francisco, CA, 94121",850000,,4.0,2620.0,OTHER,San Francisco,324.42748091603056
"386 Oxford St, San Francisco, CA, 94134",1225000,2.0,2.0,1114.0,SINGLE_FAMILY,San Francisco,1099.640933572711
"99 Manchester St, San Francisco, CA, 94110",1050000,3.0,1.0,1001.0,SINGLE_FAMILY,San Francisco,1048.951048951049
"1250 California St, San Francisco, CA, 94109",8758000,21.0,11.0,8397.0,OTHER,San Francisco,1042.9915445992617
"2618 Balboa St, San Francisco, CA, 94121",2425000,5.0,3.0,2445.0,SINGLE_FAMILY,San Francisco,991.8200408997955
"1864 Ellis St Apt E, San Francisco, CA, 94115",578000,2.0,1.0,825.0,CONDOS,San Francisco,700.6060606060606
"1250 Jones St Unit 502, San Francisco, CA, 94109",1150000,1.0,1.0,1115.0,CONDOS,San Francisco,1031.3901345291479
"30 Mason St Apt 301, San Francisco, CA, 94102",400000,1.0,1.0,769.0,CONDO,San Francisco,520.1560468140442
"480 Mission Bay Blvd N Unit 1505, San Francisco, CA, 94158",2550000,3.0,2.0,1921.0,CONDO,San Francisco,1327.4336283185842
"1361 Francisco St, San Francisco, CA, 94123",1860000,3.0,2.0,1435.0,CONDOS,San Francisco,1296.1672473867595
"1408 31st Ave Apt 305, San Francisco, CA, 94122",1090000,2.0,2.0,1276.0,CONDOS,San Francisco,854.2319749216301
"131 Turquoise Way, San Francisco, CA, 94131",1390000,3.0,2.0,1756.0,SINGLE_FAMILY,San Francisco,791.5717539863326
"95 Santa Paula Ave, San Francisco, CA, 94127",3025000,4.0,2.0,2983.0,SINGLE_FAMILY,San Francisco,1014.0797854508884
"1465 Masonic Ave Apt 2, San Francisco, CA, 94117",2550000,6.0,3.0,4830.0,OTHER,San Francisco,527.9503105590062
"1501 28th Ave, San Francisco, CA, 94122",1250000,,2.0,2169.0,SINGLE_FAMILY,San Francisco,576.3024435223606
"1263 Holloway Ave, San Francisco, CA, 94132",1100000,0.0,1.0,1273.0,SINGLE_FAMILY,San Francisco,864.1005498821681
"301 Mission St Apt 20E, San Francisco, CA, 94105",820000,1.0,2.0,1027.0,CONDOS,San Francisco,798.442064264849
"2527 Turk Blvd, San Francisco, CA, 94118",2500000,3.0,3.0,2231.0,SINGLE_FAMILY,San Francisco,1120.573733751681
"1483 Sutter St Unit 901, San Francisco, CA, 94109",800000,1.0,1.0,1050.0,CONDOS,San Francisco,761.9047619047619
"937 Judah St, San Francisco, CA, 94122",1275000,2.0,1.0,1350.0,CONDOS,San Francisco,944.4444444444445
"294 Parker Ave, San Francisco, CA, 94118",900000,1.0,1.0,1005.0,CONDOS,San Francisco,895.5223880597015
"718 Long Bridge St Apt 705, San Francisco, CA, 94158",1870000,2.0,2.0,1579.0,CONDOS,San Francisco,1184.2938568714376
"3040 Balboa St, San Francisco, CA, 94121",1550000,3.0,1.0,1612.0,SINGLE_FAMILY,San Francisco,961.5384615384615
"21 18th Ave, San Francisco, CA, 94121",3400000,5.0,3.0,4116.0,SINGLE_FAMILY,San Francisco,826.0447035957241
"960 Market St Unit 421, San Francisco, CA, 94102",462000,,1.0,513.0,CONDO,San Francisco,900.5847953216374
"436 Moraga St, San Francisco, CA, 94122",1900000,3.0,2.0,1923.0,CONDO,San Francisco,988.0395215808633
"3763 20th St, San Francisco, CA, 94110",1350000,3.0,1.0,1520.0,SINGLE_FAMILY,San Francisco,888.1578947368421
"655 Noe St, San Francisco, CA, 94114",1255000,2.0,2.0,1292.0,SINGLE_FAMILY,San Francisco,971.3622291021671
"274 Collingwood St, San Francisco, CA, 94114",1350000,3.0,1.0,1200.0,CONDOS,San Francisco,1125.0
"2040 Franklin St Apt 1006, San Francisco, CA, 94109",389000,0.0,1.0,544.0,CONDOS,San Francisco,715.0735294117648
"365 24th Ave Apt 6, San Francisco, CA, 94121",2052000,,6.0,3430.0,OTHER,San Francisco,598.2507288629738
"152 Lombard St Apt 209, San Francisco, CA, 94111",808000,2.0,2.0,1053.0,CONDOS,San Francisco,767.3314339981007
"118 Baden St, San Francisco, CA, 94131",1640000,3.0,2.0,1532.0,SINGLE_FAMILY,San Francisco,1070.496083550914
"5130-5132 3rd St, San Francisco, CA, 94124",400000,,,1950.0,OTHER,San Francisco,205.12820512820514
"25 Las Villas Ct, San Francisco, CA, 94124",885000,3.0,2.0,1515.0,SINGLE_FAMILY,San Francisco,584.1584158415842
"479 Pacheco St, San Francisco, CA, 94116",3200000,5.0,3.0,2840.0,SINGLE_FAMILY,San Francisco,1126.7605633802816
"220 Lombard St Apt 116, San Francisco, CA, 94111",715000,1.0,1.0,830.0,CONDOS,San Francisco,861.4457831325301
"213 Gold Mine Dr, San Francisco, CA, 94131",2550000,3.0,3.0,2441.0,SINGLE_FAMILY,San Francisco,1044.6538303973782
"1230 LA Playa St, San Francisco, CA, 94122",3396000,,24.0,12726.0,OTHER,San Francisco,266.85525695426685
"2410 Pacific Ave Apt 9, San Francisco, CA, 94115",2360000,3.0,2.0,1716.0,CONDOS,San Francisco,1375.2913752913753
"818 30th Ave Unit A, San Francisco, CA, 94121",1300000,4.0,2.0,1536.0,CONDOS,San Francisco,846.3541666666666
"2427 42nd Ave, San Francisco, CA, 94116",1300000,3.0,2.0,912.0,SINGLE_FAMILY,San Francisco,1425.438596491228
"3338 17th St Apt 102, San Francisco, CA, 94110",449500,,,907.0,CONDO,San Francisco,495.58985667034176
"1601 Newhall St, San Francisco, CA, 94124",1175000,3.0,2.0,2025.0,SINGLE_FAMILY,San Francisco,580.2469135802469
"254 12th Ave, San Francisco, CA, 94118",2351000,3.0,3.0,1770.0,SINGLE_FAMILY,San Francisco,1328.2485875706216
"715 Naples St, San Francisco, CA, 94112",935000,3.0,1.0,1100.0,SINGLE_FAMILY,San Francisco,850.0
"82 Sycamore St, San Francisco, CA, 94110",2200000,3.0,2.0,2885.0,SINGLE_FAMILY,San Francisco,762.5649913344887
"3501 Laguna St Apt 303, San Francisco, CA, 94123",840000,,1.0,686.0,CONDO,San Francisco,1224.4897959183672
"1117 Judah St # B, San Francisco, CA, 94122",1450000,3.0,3.0,1855.0,CONDO,San Francisco,781.6711590296496
"1250 Jones St Unit 503, San Francisco, CA, 94109",1315000,1.0,1.0,1250.0,CONDOS,San Francisco,1052.0
"804 Balboa St, San Francisco, CA, 94118",1735000,3.0,1.0,1650.0,CONDOS,San Francisco,1051.5151515151515
"509-511 Buchanan St, San Francisco, CA, 94102",1405000,6.0,5.0,5300.0,MULTI_FAMILY,San Francisco,265.0943396226415
"3675 Fillmore St Apt 202, San Francisco, CA, 94123",1100000,1.0,1.0,1020.0,CONDOS,San Francisco,1078.4313725490197
"122 Flood Ave, San Francisco, CA, 94131",1160000,2.0,1.0,1480.0,SINGLE_FAMILY,San Francisco,783.7837837837837
"875 Indiana St Unit 516, San Francisco, CA, 94107",1770000,2.0,2.0,1610.0,CONDOS,San Francisco,1099.3788819875776
"1151 Broderick St Apt 2, San Francisco, CA, 94115",705000,1.0,1.0,652.0,CONDOS,San Francisco,1081.2883435582821
"440 Ortega St, San Francisco, CA, 94122",1750000,4.0,1.0,1895.0,SINGLE_FAMILY,San Francisco,923.4828496042217
"766 Harrison St Unit 413, San Francisco, CA, 94107",345000,0.0,1.0,256.0,CONDOS,San Francisco,1347.65625
"380-382 Day St, San Francisco, CA, 94131",1400000,5.0,3.0,3316.0,MULTI_FAMILY,San Francisco,422.1954161640531
"88 King St Unit 812, San Francisco, CA, 94107",1111000,2.0,2.0,1141.0,CONDO,San Francisco,973.7072743207713
"1409 Sutter St, San Francisco, CA, 94109",4800000,,10.0,17789.0,OTHER,San Francisco,269.82967002079937
"916 Rolph St, San Francisco, CA, 94112",540000,3.0,1.0,1071.0,SINGLE_FAMILY,San Francisco,504.20168067226894
"930 Scott St Apt 2, San Francisco, CA, 94115",905000,2.0,1.0,1073.0,SINGLE_FAMILY,San Francisco,843.4296365330848
"1870 Jackson St Apt 603, San Francisco, CA, 94109",2550000,3.0,2.0,1800.0,CONDOS,San Francisco,1416.6666666666667
"1750-1752 Leavenworth St, San Francisco, CA, 94109",1500000,4.0,2.0,2340.0,MULTI_FAMILY,San Francisco,641.025641025641
"376 Pacheco St, San Francisco, CA, 94116",2595000,5.0,3.0,3155.0,SINGLE_FAMILY,San Francisco,822.5039619651347
"202 Fair Oaks St, San Francisco, CA, 94110",2200000,2.0,2.0,1500.0,TOWNHOMES,San Francisco,1466.6666666666667
"7014 Fulton St, San Francisco, CA, 94121",1500000,3.0,2.0,1227.0,SINGLE_FAMILY,San Francisco,1222.4938875305625
"411 Clipper St, San Francisco, CA, 94114",1725000,3.0,1.0,1470.0,SINGLE_FAMILY,San Francisco,1173.469387755102
"2421 16th St Unit 402, San Francisco, CA, 94103",900000,2.0,2.0,1158.0,CONDOS,San Francisco,777.2020725388601
